customer_id,Node1,Node2,Node3,Node4,Node5,Node6,Node7,Node8,Node9,Node10,Node11,Node12,Node13,Node14,Node15,customer_type,Node17,Node18,Node19,Node20,target_control,outcome
13,Value4,Value1,Value1,Value4,Value1,Value4,Value4,Value4,Value2,Value3,Value4,Value4,Value2,Value2,Value4,sleeping_dog,Value3,Value2,Value3,Value4,control,positive
14,Value2,Value1,Value1,Value3,Value2,Value1,Value3,Value1,Value3,Value4,Value3,Value4,Value1,Value2,Value4,sure_thing,Value2,Value3,Value2,Value2,control,positive
15,Value1,Value1,Value2,Value4,Value3,Value1,Value4,Value2,Value2,Value2,Value3,Value4,Value3,Value1,Value1,sure_thing,Value4,Value4,Value1,Value3,target,positive
16,Value2,Value2,Value1,Value2,Value1,Value4,Value1,Value4,Value4,Value2,Value2,Value3,Value3,Value2,Value4,lost_cause,Value2,Value1,Value2,Value1,target,negative
17,Value4,Value3,Value2,Value2,Value2,Value1,Value4,Value2,Value3,Value3,Value1,Value3,Value2,Value2,Value4,sleeping_dog,Value1,Value2,Value4,Value1,control,positive
18,Value4,Value1,Value1,Value4,Value2,Value1,Value1,Value2,Value2,Value3,Value3,Value2,Value3,Value3,Value3,sure_thing,Value4,Value1,Value3,Value4,target,positive
19,Value2,Value3,Value2,Value4,Value2,Value4,Value1,Value3,Value2,Value4,Value2,Value4,Value2,Value4,Value2,lost_cause,Value4,Value4,Value3,Value1,target,negative
20,Value2,Value3,Value1,Value4,Value1,Value3,Value4,Value1,Value2,Value3,Value4,Value3,Value3,Value1,Value4,lost_cause,Value1,Value3,Value2,Value4,target,negative
21,Value3,Value3,Value4,Value4,Value2,Value1,Value1,Value3,Value2,Value3,Value1,Value1,Value3,Value4,Value2,sure_thing,Value2,Value1,Value4,Value2,control,positive
22,Value4,Value3,Value2,Value3,Value2,Value4,Value4,Value3,Value3,Value4,Value2,Value3,Value3,Value2,Value2,sleeping_dog,Value4,Value1,Value1,Value4,target,negative
23,Value2,Value3,Value3,Value4,Value1,Value3,Value4,Value1,Value3,Value1,Value3,Value3,Value3,Value3,Value4,lost_cause,Value1,Value1,Value2,Value2,target,negative
24,Value2,Value3,Value2,Value4,Value4,Value2,Value1,Value3,Value3,Value4,Value2,Value1,Value2,Value2,Value4,sleeping_dog,Value1,Value3,Value2,Value4,target,negative
25,Value2,Value3,Value1,Value2,Value4,Value3,Value1,Value2,Value3,Value2,Value2,Value2,Value3,Value4,Value4,persuadable,Value3,Value2,Value3,Value1,control,negative
26,Value3,Value3,Value1,Value2,Value3,Value4,Value2,Value3,Value3,Value3,Value2,Value3,Value2,Value4,Value1,sleeping_dog,Value1,Value2,Value2,Value1,control,positive
27,Value2,Value3,Value4,Value2,Value4,Value4,Value2,Value2,Value4,Value4,Value1,Value3,Value2,Value3,Value3,sure_thing,Value1,Value3,Value2,Value1,control,positive
28,Value2,Value1,Value2,Value4,Value4,Value2,Value4,Value3,Value4,Value3,Value4,Value1,Value3,Value1,Value4,lost_cause,Value2,Value4,Value4,Value3,control,negative
29,Value4,Value1,Value2,Value2,Value2,Value4,Value2,Value4,Value2,Value3,Value3,Value3,Value2,Value3,Value3,lost_cause,Value2,Value2,Value4,Value4,control,negative
30,Value2,Value3,Value3,Value2,Value2,Value4,Value4,Value1,Value1,Value1,Value1,Value1,Value4,Value2,Value3,sleeping_dog,Value1,Value2,Value3,Value4,control,positive
31,Value4,Value1,Value1,Value2,Value1,Value4,Value4,Value1,Value4,Value3,Value4,Value1,Value1,Value1,Value1,persuadable,Value2,Value3,Value4,Value2,control,negative
32,Value2,Value1,Value1,Value2,Value3,Value1,Value2,Value3,Value3,Value3,Value3,Value1,Value3,Value3,Value1,sleeping_dog,Value4,Value4,Value3,Value4,control,positive
33,Value2,Value3,Value2,Value2,Value2,Value1,Value1,Value1,Value3,Value4,Value2,Value3,Value4,Value4,Value3,lost_cause,Value4,Value4,Value1,Value2,target,negative
34,Value4,Value1,Value4,Value2,Value4,Value3,Value4,Value3,Value1,Value1,Value3,Value4,Value2,Value1,Value1,persuadable,Value2,Value1,Value1,Value2,target,positive
35,Value4,Value1,Value2,Value2,Value2,Value4,Value2,Value4,Value3,Value3,Value3,Value3,Value2,Value4,Value3,persuadable,Value4,Value4,Value4,Value2,target,positive
36,Value1,Value1,Value2,Value2,Value2,Value2,Value4,Value3,Value1,Value3,Value1,Value2,Value1,Value1,Value3,lost_cause,Value3,Value2,Value3,Value2,control,negative
37,Value4,Value1,Value1,Value2,Value2,Value1,Value2,Value2,Value3,Value3,Value1,Value3,Value3,Value2,Value2,persuadable,Value3,Value1,Value2,Value3,target,positive
38,Value4,Value3,Value2,Value2,Value2,Value1,Value2,Value4,Value2,Value4,Value3,Value1,Value1,Value2,Value4,sleeping_dog,Value1,Value3,Value2,Value2,target,negative
39,Value1,Value1,Value2,Value4,Value4,Value4,Value1,Value4,Value3,Value3,Value2,Value3,Value2,Value4,Value2,lost_cause,Value4,Value4,Value4,Value1,control,negative
40,Value2,Value1,Value1,Value1,Value3,Value4,Value2,Value4,Value4,Value3,Value2,Value2,Value2,Value4,Value1,sure_thing,Value3,Value4,Value3,Value1,target,positive
41,Value4,Value1,Value4,Value2,Value1,Value2,Value2,Value3,Value1,Value3,Value2,Value1,Value2,Value3,Value3,persuadable,Value1,Value2,Value2,Value1,control,negative
42,Value2,Value3,Value4,Value4,Value1,Value4,Value1,Value1,Value3,Value3,Value3,Value3,Value2,Value2,Value1,sure_thing,Value1,Value2,Value3,Value4,target,positive
43,Value4,Value1,Value2,Value2,Value2,Value1,Value1,Value3,Value2,Value3,Value3,Value1,Value3,Value3,Value2,persuadable,Value2,Value1,Value4,Value4,control,negative
44,Value2,Value3,Value4,Value2,Value4,Value4,Value4,Value3,Value4,Value2,Value3,Value3,Value1,Value4,Value2,lost_cause,Value3,Value2,Value1,Value2,target,negative
45,Value4,Value1,Value1,Value2,Value3,Value4,Value4,Value1,Value2,Value2,Value2,Value4,Value3,Value2,Value3,sure_thing,Value3,Value4,Value4,Value3,control,positive
46,Value4,Value2,Value4,Value4,Value4,Value4,Value1,Value1,Value2,Value4,Value4,Value1,Value3,Value3,Value4,persuadable,Value1,Value4,Value4,Value4,control,negative
47,Value2,Value3,Value2,Value4,Value1,Value2,Value4,Value3,Value2,Value3,Value3,Value3,Value4,Value3,Value4,lost_cause,Value1,Value4,Value2,Value4,target,negative
48,Value2,Value1,Value1,Value2,Value2,Value1,Value4,Value1,Value2,Value3,Value2,Value3,Value2,Value4,Value3,sleeping_dog,Value4,Value1,Value3,Value4,control,positive
49,Value4,Value3,Value2,Value2,Value4,Value2,Value2,Value4,Value2,Value1,Value3,Value4,Value1,Value3,Value2,sleeping_dog,Value4,Value2,Value1,Value3,control,positive
50,Value4,Value1,Value2,Value2,Value2,Value4,Value1,Value3,Value3,Value2,Value3,Value1,Value4,Value3,Value3,sure_thing,Value2,Value3,Value3,Value4,control,positive
51,Value4,Value2,Value2,Value2,Value4,Value2,Value1,Value3,Value2,Value2,Value1,Value4,Value1,Value4,Value1,lost_cause,Value1,Value4,Value3,Value3,control,negative
52,Value3,Value1,Value1,Value2,Value1,Value2,Value2,Value4,Value4,Value3,Value2,Value1,Value3,Value4,Value1,sure_thing,Value1,Value1,Value2,Value3,control,positive
53,Value4,Value3,Value2,Value2,Value4,Value2,Value2,Value2,Value2,Value3,Value2,Value1,Value3,Value1,Value3,sure_thing,Value2,Value4,Value3,Value4,control,positive
54,Value3,Value1,Value2,Value2,Value1,Value4,Value4,Value2,Value3,Value1,Value4,Value1,Value3,Value1,Value3,lost_cause,Value1,Value1,Value2,Value4,target,negative
55,Value4,Value2,Value3,Value2,Value2,Value4,Value2,Value4,Value2,Value1,Value4,Value2,Value2,Value3,Value2,lost_cause,Value2,Value3,Value4,Value4,control,negative
56,Value1,Value1,Value1,Value3,Value1,Value2,Value4,Value3,Value1,Value4,Value1,Value4,Value2,Value1,Value1,persuadable,Value2,Value1,Value3,Value1,target,positive
57,Value3,Value1,Value1,Value3,Value2,Value1,Value3,Value4,Value3,Value3,Value3,Value1,Value1,Value3,Value1,sure_thing,Value2,Value1,Value2,Value1,target,positive
58,Value1,Value1,Value2,Value2,Value2,Value4,Value2,Value4,Value3,Value3,Value2,Value3,Value4,Value3,Value2,lost_cause,Value1,Value3,Value3,Value1,target,negative
59,Value4,Value1,Value2,Value2,Value2,Value3,Value2,Value4,Value4,Value3,Value1,Value1,Value2,Value2,Value3,sure_thing,Value3,Value2,Value4,Value1,target,positive
60,Value4,Value1,Value1,Value2,Value3,Value3,Value4,Value1,Value4,Value3,Value2,Value1,Value2,Value3,Value1,lost_cause,Value2,Value1,Value2,Value4,target,negative
61,Value4,Value1,Value2,Value4,Value4,Value3,Value1,Value3,Value4,Value3,Value3,Value2,Value2,Value2,Value1,lost_cause,Value3,Value3,Value3,Value2,target,negative
62,Value4,Value3,Value2,Value2,Value1,Value3,Value4,Value3,Value4,Value3,Value4,Value1,Value2,Value3,Value4,lost_cause,Value2,Value2,Value4,Value3,target,negative
63,Value1,Value1,Value4,Value2,Value2,Value1,Value2,Value2,Value4,Value2,Value4,Value3,Value3,Value1,Value1,sure_thing,Value4,Value2,Value2,Value3,target,positive
64,Value2,Value3,Value4,Value4,Value3,Value4,Value4,Value4,Value4,Value2,Value2,Value3,Value2,Value3,Value3,sleeping_dog,Value1,Value1,Value2,Value1,target,negative
65,Value3,Value2,Value1,Value2,Value3,Value1,Value4,Value1,Value3,Value4,Value1,Value4,Value4,Value3,Value1,persuadable,Value3,Value1,Value2,Value2,target,positive
66,Value4,Value3,Value4,Value3,Value3,Value4,Value2,Value4,Value2,Value3,Value3,Value3,Value1,Value3,Value1,persuadable,Value4,Value1,Value2,Value2,target,positive
67,Value4,Value3,Value4,Value4,Value4,Value3,Value4,Value1,Value2,Value3,Value4,Value3,Value2,Value2,Value1,lost_cause,Value4,Value3,Value3,Value1,target,negative
68,Value1,Value3,Value4,Value2,Value2,Value2,Value2,Value4,Value2,Value3,Value3,Value3,Value2,Value2,Value1,sleeping_dog,Value3,Value2,Value2,Value2,control,positive
69,Value1,Value1,Value4,Value4,Value4,Value2,Value1,Value3,Value1,Value2,Value2,Value2,Value4,Value4,Value4,sure_thing,Value1,Value2,Value2,Value1,target,positive
70,Value3,Value1,Value4,Value2,Value2,Value3,Value2,Value4,Value4,Value4,Value3,Value3,Value3,Value3,Value1,sure_thing,Value1,Value1,Value2,Value2,control,positive
71,Value2,Value1,Value1,Value2,Value1,Value4,Value2,Value3,Value3,Value3,Value3,Value1,Value2,Value3,Value4,lost_cause,Value2,Value2,Value3,Value3,target,negative
72,Value2,Value1,Value2,Value2,Value4,Value2,Value1,Value1,Value4,Value4,Value4,Value1,Value2,Value3,Value1,sure_thing,Value4,Value3,Value2,Value4,control,positive
73,Value1,Value1,Value1,Value4,Value1,Value4,Value1,Value3,Value1,Value2,Value4,Value2,Value4,Value1,Value4,sleeping_dog,Value1,Value3,Value4,Value4,target,negative
74,Value4,Value3,Value2,Value2,Value4,Value4,Value4,Value2,Value3,Value1,Value1,Value1,Value2,Value2,Value1,persuadable,Value4,Value4,Value2,Value1,target,positive
75,Value2,Value3,Value2,Value2,Value2,Value1,Value4,Value3,Value2,Value4,Value2,Value4,Value1,Value2,Value2,lost_cause,Value3,Value4,Value1,Value3,control,negative
76,Value4,Value3,Value4,Value4,Value3,Value2,Value4,Value3,Value2,Value1,Value2,Value2,Value4,Value3,Value4,persuadable,Value1,Value4,Value2,Value1,target,positive
77,Value3,Value1,Value2,Value2,Value3,Value1,Value2,Value3,Value1,Value4,Value2,Value1,Value2,Value4,Value3,sleeping_dog,Value1,Value2,Value3,Value2,control,positive
78,Value1,Value3,Value2,Value2,Value4,Value2,Value1,Value1,Value1,Value4,Value3,Value4,Value3,Value4,Value1,persuadable,Value4,Value4,Value4,Value1,target,positive
79,Value1,Value1,Value1,Value2,Value3,Value4,Value2,Value3,Value1,Value2,Value2,Value3,Value4,Value4,Value1,sure_thing,Value4,Value3,Value3,Value1,target,positive
80,Value1,Value2,Value1,Value2,Value4,Value2,Value1,Value2,Value1,Value4,Value1,Value4,Value3,Value2,Value1,sleeping_dog,Value2,Value4,Value1,Value1,target,negative
81,Value3,Value1,Value1,Value2,Value3,Value4,Value4,Value1,Value4,Value3,Value2,Value1,Value1,Value2,Value2,sure_thing,Value2,Value2,Value2,Value3,control,positive
82,Value4,Value2,Value1,Value2,Value4,Value2,Value1,Value2,Value2,Value2,Value1,Value4,Value4,Value4,Value2,lost_cause,Value2,Value1,Value3,Value1,control,negative
83,Value2,Value2,Value4,Value3,Value4,Value1,Value2,Value2,Value2,Value3,Value2,Value3,Value3,Value1,Value2,persuadable,Value4,Value2,Value1,Value3,control,negative
84,Value1,Value1,Value1,Value2,Value3,Value2,Value2,Value3,Value1,Value4,Value1,Value4,Value2,Value1,Value1,sure_thing,Value4,Value3,Value2,Value1,target,positive
85,Value1,Value1,Value3,Value4,Value3,Value1,Value1,Value4,Value4,Value3,Value2,Value1,Value2,Value4,Value3,lost_cause,Value1,Value3,Value1,Value1,target,negative
86,Value4,Value1,Value2,Value2,Value2,Value1,Value2,Value4,Value2,Value2,Value4,Value4,Value3,Value1,Value2,lost_cause,Value4,Value1,Value4,Value4,control,negative
87,Value3,Value1,Value1,Value4,Value2,Value1,Value4,Value4,Value1,Value3,Value2,Value2,Value3,Value4,Value2,sure_thing,Value1,Value3,Value1,Value1,target,positive
88,Value3,Value3,Value2,Value2,Value3,Value4,Value4,Value3,Value2,Value3,Value4,Value4,Value3,Value1,Value3,sleeping_dog,Value3,Value3,Value1,Value1,control,positive
89,Value4,Value3,Value4,Value2,Value4,Value3,Value1,Value4,Value1,Value4,Value1,Value3,Value3,Value4,Value3,sure_thing,Value4,Value1,Value4,Value4,control,positive
90,Value1,Value1,Value2,Value4,Value2,Value1,Value1,Value4,Value4,Value3,Value4,Value1,Value4,Value4,Value2,lost_cause,Value3,Value3,Value1,Value2,control,negative
91,Value4,Value1,Value1,Value4,Value1,Value4,Value4,Value4,Value3,Value3,Value3,Value1,Value4,Value2,Value1,persuadable,Value3,Value3,Value4,Value4,control,negative
92,Value4,Value1,Value3,Value2,Value2,Value4,Value2,Value4,Value3,Value3,Value2,Value3,Value4,Value2,Value2,lost_cause,Value2,Value1,Value2,Value1,target,negative
93,Value4,Value3,Value2,Value2,Value2,Value1,Value2,Value4,Value2,Value2,Value1,Value2,Value3,Value4,Value4,sleeping_dog,Value1,Value3,Value3,Value4,target,negative
94,Value2,Value1,Value1,Value2,Value2,Value1,Value4,Value1,Value1,Value3,Value1,Value3,Value3,Value4,Value3,sleeping_dog,Value3,Value4,Value2,Value4,control,positive
95,Value4,Value1,Value1,Value2,Value3,Value4,Value2,Value2,Value2,Value1,Value2,Value1,Value4,Value4,Value2,sure_thing,Value1,Value2,Value2,Value2,target,positive
96,Value1,Value3,Value4,Value2,Value1,Value4,Value2,Value2,Value4,Value3,Value1,Value2,Value2,Value2,Value3,persuadable,Value1,Value3,Value2,Value1,target,positive
97,Value4,Value1,Value1,Value4,Value4,Value3,Value4,Value3,Value3,Value2,Value4,Value2,Value2,Value3,Value4,persuadable,Value4,Value4,Value1,Value4,target,positive
98,Value4,Value1,Value1,Value2,Value4,Value4,Value1,Value1,Value2,Value3,Value3,Value3,Value3,Value3,Value4,sure_thing,Value3,Value4,Value3,Value4,target,positive
99,Value3,Value1,Value1,Value4,Value2,Value4,Value1,Value1,Value3,Value3,Value3,Value2,Value4,Value2,Value2,sure_thing,Value4,Value4,Value3,Value4,target,positive
100,Value2,Value1,Value4,Value2,Value2,Value1,Value4,Value3,Value3,Value3,Value3,Value3,Value3,Value4,Value2,lost_cause,Value4,Value4,Value4,Value4,target,negative
101,Value4,Value1,Value3,Value2,Value2,Value2,Value2,Value2,Value1,Value3,Value4,Value4,Value4,Value1,Value3,sure_thing,Value2,Value2,Value2,Value2,target,positive
102,Value3,Value2,Value1,Value4,Value4,Value2,Value4,Value2,Value1,Value4,Value3,Value3,Value3,Value3,Value1,sure_thing,Value2,Value2,Value2,Value2,control,positive
103,Value4,Value3,Value2,Value2,Value1,Value4,Value2,Value4,Value2,Value3,Value4,Value3,Value3,Value1,Value1,lost_cause,Value1,Value4,Value4,Value1,target,negative
104,Value4,Value1,Value2,Value2,Value4,Value2,Value2,Value4,Value4,Value3,Value3,Value1,Value4,Value4,Value4,persuadable,Value1,Value3,Value1,Value4,control,negative
105,Value2,Value3,Value3,Value2,Value1,Value3,Value1,Value1,Value1,Value3,Value1,Value2,Value3,Value4,Value3,sleeping_dog,Value4,Value3,Value4,Value3,control,positive
106,Value3,Value3,Value2,Value2,Value1,Value4,Value3,Value2,Value3,Value3,Value3,Value3,Value4,Value1,Value4,sure_thing,Value1,Value1,Value2,Value4,control,positive
107,Value1,Value1,Value4,Value4,Value2,Value4,Value1,Value3,Value3,Value3,Value2,Value2,Value3,Value1,Value3,lost_cause,Value2,Value3,Value1,Value3,control,negative
108,Value4,Value1,Value4,Value4,Value4,Value2,Value1,Value1,Value1,Value3,Value1,Value4,Value2,Value1,Value4,persuadable,Value1,Value2,Value1,Value1,target,positive
109,Value1,Value1,Value4,Value2,Value1,Value4,Value4,Value4,Value4,Value4,Value3,Value2,Value2,Value3,Value4,sure_thing,Value1,Value4,Value3,Value2,control,positive
110,Value3,Value1,Value1,Value4,Value2,Value4,Value4,Value1,Value1,Value4,Value2,Value3,Value3,Value3,Value3,sure_thing,Value4,Value2,Value3,Value3,target,positive
111,Value4,Value1,Value1,Value2,Value4,Value2,Value4,Value1,Value2,Value3,Value2,Value3,Value3,Value1,Value1,lost_cause,Value4,Value4,Value3,Value1,control,negative
112,Value4,Value1,Value4,Value4,Value2,Value4,Value1,Value3,Value2,Value4,Value3,Value1,Value1,Value2,Value4,lost_cause,Value2,Value3,Value4,Value1,control,negative
113,Value2,Value3,Value2,Value2,Value2,Value1,Value2,Value4,Value2,Value4,Value2,Value4,Value2,Value4,Value4,lost_cause,Value1,Value1,Value3,Value3,control,negative
114,Value2,Value1,Value2,Value3,Value1,Value2,Value2,Value4,Value2,Value2,Value3,Value1,Value3,Value3,Value1,persuadable,Value1,Value2,Value2,Value1,control,negative
115,Value1,Value3,Value2,Value4,Value4,Value2,Value1,Value3,Value1,Value4,Value1,Value1,Value2,Value4,Value4,sleeping_dog,Value2,Value2,Value2,Value1,control,positive
116,Value4,Value3,Value1,Value2,Value3,Value1,Value4,Value1,Value4,Value1,Value2,Value2,Value4,Value3,Value1,lost_cause,Value2,Value4,Value1,Value4,target,negative
117,Value1,Value3,Value4,Value2,Value4,Value2,Value4,Value1,Value2,Value3,Value1,Value3,Value1,Value4,Value2,persuadable,Value1,Value2,Value1,Value2,control,negative
118,Value4,Value1,Value2,Value2,Value2,Value1,Value2,Value4,Value2,Value4,Value4,Value1,Value4,Value4,Value3,persuadable,Value4,Value2,Value2,Value3,target,positive
119,Value4,Value3,Value2,Value3,Value3,Value1,Value4,Value3,Value2,Value3,Value3,Value1,Value1,Value2,Value3,persuadable,Value2,Value2,Value2,Value1,target,positive
120,Value4,Value3,Value2,Value2,Value3,Value4,Value2,Value4,Value2,Value3,Value3,Value3,Value1,Value1,Value1,persuadable,Value3,Value1,Value2,Value2,target,positive
121,Value1,Value3,Value4,Value2,Value4,Value3,Value2,Value4,Value4,Value4,Value3,Value3,Value4,Value2,Value4,lost_cause,Value3,Value4,Value2,Value4,control,negative
122,Value1,Value1,Value1,Value2,Value2,Value1,Value3,Value3,Value4,Value3,Value2,Value1,Value4,Value4,Value2,lost_cause,Value4,Value3,Value4,Value1,target,negative
123,Value4,Value1,Value1,Value3,Value1,Value4,Value4,Value3,Value2,Value3,Value4,Value3,Value2,Value3,Value1,lost_cause,Value4,Value1,Value4,Value1,target,negative
124,Value4,Value3,Value1,Value2,Value1,Value3,Value1,Value2,Value4,Value3,Value4,Value1,Value4,Value1,Value4,lost_cause,Value2,Value3,Value3,Value2,control,negative
125,Value1,Value2,Value2,Value4,Value1,Value1,Value1,Value3,Value3,Value2,Value3,Value1,Value3,Value2,Value1,persuadable,Value1,Value4,Value3,Value1,target,positive
126,Value3,Value1,Value4,Value4,Value2,Value1,Value1,Value1,Value3,Value4,Value2,Value3,Value2,Value4,Value4,persuadable,Value3,Value3,Value2,Value1,target,positive
127,Value4,Value1,Value1,Value3,Value4,Value4,Value2,Value4,Value2,Value1,Value2,Value2,Value1,Value1,Value1,lost_cause,Value2,Value2,Value1,Value3,target,negative
128,Value3,Value1,Value2,Value3,Value1,Value4,Value2,Value1,Value3,Value3,Value1,Value4,Value2,Value1,Value1,persuadable,Value1,Value2,Value2,Value1,target,positive
129,Value4,Value3,Value1,Value4,Value1,Value4,Value1,Value2,Value2,Value4,Value1,Value4,Value3,Value3,Value4,persuadable,Value1,Value3,Value1,Value3,target,positive
130,Value4,Value1,Value1,Value2,Value3,Value1,Value2,Value2,Value1,Value4,Value1,Value1,Value2,Value2,Value4,lost_cause,Value1,Value1,Value2,Value4,target,negative
131,Value4,Value3,Value4,Value4,Value3,Value4,Value4,Value1,Value3,Value1,Value2,Value2,Value2,Value4,Value1,sleeping_dog,Value2,Value1,Value4,Value2,control,positive
132,Value4,Value1,Value4,Value4,Value2,Value1,Value4,Value3,Value2,Value2,Value2,Value4,Value4,Value4,Value4,sleeping_dog,Value3,Value4,Value1,Value3,control,positive
133,Value2,Value3,Value4,Value2,Value2,Value1,Value4,Value4,Value2,Value3,Value2,Value1,Value3,Value4,Value2,sure_thing,Value3,Value4,Value4,Value3,control,positive
134,Value4,Value1,Value1,Value2,Value2,Value3,Value1,Value1,Value1,Value2,Value2,Value4,Value1,Value1,Value2,persuadable,Value4,Value3,Value3,Value2,control,negative
135,Value1,Value1,Value1,Value2,Value3,Value3,Value4,Value1,Value3,Value3,Value4,Value3,Value2,Value3,Value4,persuadable,Value3,Value3,Value1,Value3,target,positive
136,Value1,Value3,Value3,Value2,Value2,Value1,Value1,Value1,Value4,Value4,Value4,Value3,Value3,Value1,Value3,sleeping_dog,Value1,Value2,Value1,Value4,target,negative
137,Value4,Value1,Value3,Value2,Value3,Value2,Value4,Value1,Value2,Value2,Value2,Value4,Value2,Value3,Value1,lost_cause,Value4,Value1,Value1,Value2,control,negative
138,Value4,Value3,Value4,Value2,Value1,Value4,Value1,Value1,Value1,Value3,Value2,Value3,Value3,Value2,Value4,sleeping_dog,Value3,Value1,Value3,Value1,control,positive
139,Value4,Value3,Value2,Value2,Value3,Value1,Value2,Value4,Value3,Value3,Value1,Value4,Value2,Value2,Value1,sleeping_dog,Value4,Value1,Value4,Value1,control,positive
140,Value2,Value1,Value4,Value4,Value2,Value1,Value1,Value3,Value3,Value1,Value3,Value1,Value2,Value1,Value1,sleeping_dog,Value2,Value1,Value1,Value4,target,negative
141,Value3,Value3,Value2,Value2,Value2,Value1,Value2,Value1,Value1,Value4,Value4,Value4,Value1,Value3,Value3,sure_thing,Value2,Value3,Value4,Value2,target,positive
142,Value4,Value3,Value2,Value2,Value4,Value3,Value1,Value3,Value3,Value3,Value1,Value2,Value2,Value1,Value4,sure_thing,Value1,Value3,Value4,Value1,target,positive
143,Value3,Value1,Value1,Value4,Value3,Value1,Value1,Value2,Value3,Value2,Value1,Value1,Value4,Value1,Value3,lost_cause,Value3,Value3,Value3,Value2,target,negative
144,Value1,Value3,Value4,Value2,Value2,Value4,Value2,Value2,Value3,Value4,Value2,Value1,Value1,Value1,Value3,sleeping_dog,Value3,Value4,Value4,Value2,target,negative
145,Value2,Value1,Value2,Value2,Value3,Value1,Value1,Value3,Value3,Value2,Value4,Value2,Value1,Value1,Value3,sure_thing,Value3,Value3,Value3,Value2,control,positive
146,Value1,Value1,Value1,Value4,Value4,Value3,Value1,Value1,Value3,Value3,Value1,Value1,Value3,Value4,Value4,persuadable,Value3,Value3,Value4,Value1,target,positive
147,Value3,Value1,Value1,Value4,Value4,Value4,Value1,Value1,Value3,Value1,Value1,Value1,Value3,Value4,Value3,sleeping_dog,Value3,Value2,Value1,Value4,target,negative
148,Value4,Value1,Value3,Value4,Value3,Value1,Value1,Value4,Value2,Value3,Value3,Value3,Value2,Value2,Value3,lost_cause,Value2,Value1,Value2,Value4,target,negative
149,Value4,Value1,Value4,Value4,Value2,Value1,Value1,Value1,Value1,Value3,Value1,Value2,Value2,Value1,Value3,sure_thing,Value1,Value4,Value4,Value1,target,positive
150,Value4,Value3,Value4,Value4,Value3,Value4,Value4,Value3,Value3,Value1,Value1,Value1,Value3,Value2,Value4,sure_thing,Value1,Value4,Value2,Value4,target,positive
151,Value4,Value1,Value2,Value4,Value4,Value1,Value4,Value3,Value2,Value4,Value1,Value1,Value2,Value4,Value4,lost_cause,Value3,Value3,Value3,Value1,target,negative
152,Value2,Value1,Value1,Value4,Value3,Value1,Value4,Value1,Value3,Value4,Value4,Value1,Value3,Value1,Value3,persuadable,Value3,Value2,Value4,Value4,control,negative
153,Value2,Value1,Value2,Value2,Value2,Value4,Value2,Value4,Value1,Value2,Value1,Value1,Value3,Value2,Value4,sure_thing,Value4,Value1,Value4,Value4,target,positive
154,Value2,Value1,Value2,Value3,Value1,Value3,Value4,Value1,Value3,Value4,Value3,Value2,Value4,Value4,Value1,sure_thing,Value1,Value4,Value2,Value3,control,positive
